id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,operator,phone,opening_hours,dispensing,address
02-00131,Bouali b,Bouali b,,02,0201,Chlef,36.1623,1.3616,exact,osm_node,osm,"{""osm"":""node/8652480017""}",,,,,
02-00132,HACHEMI A,HACHEMI A,,02,0224,Chettia,36.182659,1.256494,exact,osm_node,osm,"{""osm"":""node/8697247817""}",,,,,
02-00133,Ouarem Ilyas,Ouarem Ilyas,,02,0215,Herenfa,36.242622,1.04683,exact,osm_node,osm,"{""osm"":""node/8701516217""}",,,,,
02-00134,BEKHOUKHA K,BEKHOUKHA K,,02,0222,Abou El Hassane,36.333551,1.241154,exact,osm_node,osm,"{""osm"":""node/8702457417""}",,,,,
02-00135,Bot,Bot,,02,0232,Ain Merane,36.15685,0.967181,exact,osm_node,osm,"{""osm"":""node/8738969618""}",,,,,
02-00136,MANAA Gh,MANAA Gh,,02,0229,Oued Fodda,36.185074,1.528663,exact,osm_node,osm,"{""osm"":""node/8739096717""}",,,,,
02-00137,Boualem,Boualem,,02,0221,Oued Sly,36.102796,1.198616,exact,osm_node,osm,"{""osm"":""node/8747146918""}",,,,,
02-00138,SELLAI,SELLAI,,02,0221,Oued Sly,36.102397,1.201241,exact,osm_node,osm,"{""osm"":""node/8747161617""}",,,,,
02-00139,Bouanik,Bouanik,,02,0221,Oued Sly,36.104605,1.197344,exact,osm_node,osm,"{""osm"":""node/8747161717""}",,,,,
02-00140,HADDOM,HADDOM,,02,0232,Ain Merane,36.160072,0.965836,exact,osm_node,osm,"{""osm"":""node/8750142717""}",,,,,
02-00141,Hemidi boudjalthia,Hemidi boudjalthia,,02,0229,Oued Fodda,36.183151,1.520468,exact,osm_node,osm,"{""osm"":""node/8757700417""}",,,,,
02-00142,KATTOU A,KATTOU A,,02,0210,Ouled Fares,36.210446,1.251426,exact,osm_node,osm,"{""osm"":""node/8767966217""}",,,,,
02-00143,YOUCEFI K,YOUCEFI K,,02,0205,Tadjena,36.312031,1.248038,exact,osm_node,osm,"{""osm"":""node/8773327217""}",,,,,
02-00144,BOUCEKKINE H,BOUCEKKINE H,,02,0210,Ouled Fares,36.2812,1.239131,exact,osm_node,osm,"{""osm"":""node/8773327317""}",,,,,
02-00145,SAIAH,SAIAH,,02,0201,Chlef,36.167584,1.341041,exact,osm_node,osm,"{""osm"":""node/8783758517""}",,,,,
02-00146,Djaffal N,Djaffal N,,02,0202,Tenes,36.508153,1.307685,exact,osm_node,osm,"{""osm"":""node/8789731273""}",,,,,
02-00147,MACHTA N,MACHTA N,,02,0201,Chlef,36.162309,1.32978,exact,osm_node,osm,"{""osm"":""node/8789772769""}",,,,,
