id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,type_label_fr,sector,supervisory_ministry,website
00058,Université Sidi Bel Abbès – Djillali Liabes,جامعة جيلالي ليابس سيدي بلعباس,22,,Sidi Lahcene,35.1795014,-0.660442,exact,campus,mesrs,universite,Université,public,,http://www.univ-sba.dz/
00059,Ecole des hautes études commerciales,مدرسة الدراسات العليا التجارية,42,,Kolea,36.638549,2.78867,exact,campus,mesrs,grande_ecole,Grande école,public,,http://www.hec.dz/
00060,Ecole Nationale Polytechnique,المدرسة الوطنية المتعددة التقنيات,16,,El Harrach,36.7164,3.715,approximate,commune,mesrs,grande_ecole,Grande école,public,,http://www.enp.edu.dz/
00061,Ecole Nationale Polytechnique d’Oran – Maurice Audin,,31,,Es Senia,35.6664067,-0.6327268,exact,campus,mesrs,grande_ecole,Grande école,public,,http://www.enset-oran.dz/
00062,Ecole Nationale Polytechnique de Constantine- Malek Bennabi,المدرسة الوطنية المتعددة التقنيات بقسنطينة-المفكر مالك بن نبي,25,,,36.35,6.6,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,http://www.enp-constantine.dz/
00063,Ecole nationale supérieure agronomique- Khalef Abdellah alias Kasdi Merbah,المدرسة الوطنية العليا للفلاحة -المجاهد خالف عبد الله المدعو قاصدي مرباح,16,,El Harrach,36.7164,3.715,approximate,commune,mesrs,grande_ecole,Grande école,public,,http://www.ensa.dz/
00064,Ecole nationale supérieure d’hydraulique – Arbaoui Abdellah,المدرسة الوطنية العليا للري-المجاهد عرباوي ‬عبد الله,09,,Soumaa,36.51833,2.905278,approximate,commune,mesrs,grande_ecole,Grande école,public,,http://www.ensh.dz/
00065,Ecole nationale supérieure d’informatique,المدرسة الوطنية العليا للإعلام الآلي,16,,Bab Ezzouar,36.7059919,3.1720073,exact,campus,mesrs,grande_ecole,Grande école,public,,http://www.esi.dz/
00066,Ecole Nationale Supérieure de Biotechnologie de Constantine – Tewfik Khaznadar,المدرسة الوطنية العليا في البيوتكنولوجيا بقسنطينة – الشهيد توفيق خزندار,25,,Ain Smara,36.2799184,6.5906367,exact,campus,mesrs,grande_ecole,Grande école,public,,http://ensbiotech.edu.dz/
00067,Ecole nationale supérieure de journalisme et des sciences de l’information,المدرسة الوطنية العليا للصحافة وعلوم الإعلام,16,,Ben Aknoun,36.758895,3.0100658,approximate,commune,mesrs,grande_ecole,Grande école,public,,https://ensjsi.dz/
00068,Ecole nationale supérieure de management,المدرسة الوطنية العليا للمناجمنت,42,,Kolea,36.6389,2.768,approximate,commune,mesrs,grande_ecole,Grande école,public,,http://www.ensm.dz/
00069,Ecole Nationale Supérieure de Technologie,,16,,Herraoua,36.7761552,3.2581993,exact,campus,mesrs,grande_ecole,Grande école,public,,http://www.enst.dz/
00070,Ecole nationale supérieure des mines et de la métallurgie – Amar Laskri,,23,,Annaba,36.9,7.7667,approximate,commune,mesrs,grande_ecole,Grande école,public,,http://ensmm-annaba.dz/
00071,Ecole nationale supérieure des sciences de la mer et de l’aménagement du littoral,,16,,Dely Ibrahim,36.7553186,2.9817799,exact,campus,mesrs,grande_ecole,Grande école,public,,http://www.enssmal.dz/
00072,Ecole Nationale Supérieure des sciences politiques,المدرسة الوطنية العليا للعلوم السياسية,16,,Ben Aknoun,36.758895,3.0100658,approximate,commune,mesrs,grande_ecole,Grande école,public,,http://www.enssp.dz/
00073,Ecole nationale supérieure des travaux publics – Francis Jeanson,,16,,Kouba,36.74413,3.086474,approximate,commune,mesrs,grande_ecole,Grande école,public,,http://www.entp.edu.dz/
00074,École Nationale Supérieure en Intelligence Artificielle,المدرسة الوطنية العليا للذكاء الاصطناعي,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,https://ensia.edu.dz/
00075,Ecole nationale supérieure en statistique et en économie appliquée,,42,,Kolea,36.6389,2.768,approximate,commune,mesrs,grande_ecole,Grande école,public,,http://www.enssea.net/
00076,Ecole nationale supérieure vétérinaire – Rabie Bouchama,المدرسة الوطنية العليا للبيطرة-الشهيد الربيع بوشامة,16,,Bab Ezzouar,36.7122437,3.1694233,exact,campus,mesrs,grande_ecole,Grande école,public,,http://www.ensv.dz/
00077,Ecole Polytechnique d’architecture et d’Urbanisme-Hocine Aït Ahmed,المدرسة المتعددة العلوم للهندسة المعمارية والعمران-المجاهد حسين آيت أحمد,16,,El Harrach,36.7164,3.715,approximate,commune,mesrs,grande_ecole,Grande école,public,,http://www.epau-alger.edu.dz/
00078,Ecole Supérieure Agronomique de Mostaganem ex EP SNV Mostaganem,المدرسة العليا في علوم الفلآحة بمستغانم سابقا-ق. ت. ع.ط.ح. – مستغانم,27,,,35.933,0.083,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,https://www.esa-mosta.dz
00079,Ecole Supérieure d’Economie d’Oran ex EPSECG Oran,المدرسة العليا للإقتصاد بوهران سابقا- ق. ت.ع.ا.ت.ع.ت – وھران,31,,,35.69694,-0.63306,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,https://ese-oran.dz/
