id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,line,operator,network
22-039,Gare routière Sud,Gare routière Sud,المحطة البرية الجنوبية,22,2201,Sidi Bel-Abbes,35.185288,-0.650607,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684351"",""osm"":""node/9064774974""}",tram,,SETRAM,Sidi Bel Abbès
22-040,Les frères Adnane,Les frères Adnane,الإخوة عدنان,22,2201,Sidi Bel-Abbes,35.216847,-0.614787,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684353"",""osm"":""node/9064774910""}",tram,,SETRAM,Sidi Bel Abbès
22-041,Faculté de Droit,Faculté de Droit,كلية الحقوق,22,2201,Sidi Bel-Abbes,35.215419,-0.632751,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684354"",""osm"":""node/9064774868""}",tram,,SETRAM,Sidi Bel Abbès
22-042,Gare Routière Est,Gare Routière Est,محطة نقل المسافرين شرق,22,2201,Sidi Bel-Abbes,35.213271,-0.615712,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684355"",""osm"":""node/9064730904""}",tram,,SETRAM,Sidi Bel Abbès
22-043,Sidi Djilali,Sidi Djilali,سيدي جيلالي,22,2201,Sidi Bel-Abbes,35.215937,-0.623567,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684356"",""osm"":""node/9064774775""}",tram,,SETRAM,Sidi Bel Abbès
22-044,L'environnement,L'environnement,البيئة,22,2201,Sidi Bel-Abbes,35.216101,-0.624424,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684357"",""osm"":""node/9064774886""}",tram,,SETRAM,Sidi Bel Abbès
22-045,AADL Benhamouda,AADL Benhamouda,,22,2201,Sidi Bel-Abbes,35.218359,-0.62757,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684358"",""osm"":""node/9064774788""}",tram,,SETRAM,Sidi Bel Abbès
22-046,Adda Boudjellal,Adda Boudjellal,قاعة عدة بوجلال,22,2201,Sidi Bel-Abbes,35.191791,-0.625189,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684359"",""osm"":""node/9064774964""}",tram,,SETRAM,Sidi Bel Abbès
22-047,Station La radio,Station La radio,الإذاعة,22,2201,Sidi Bel-Abbes,35.196312,-0.620859,exact,osm_node,wikidata+osm,"{""wikidata"":""Q136684360"",""osm"":""node/9064774932""}",tram,,SETRAM,Sidi Bel Abbès
23-001,El Bouni Zi,El Bouni Zi,,23,2311,Sidi Amar,36.846314,7.72451,exact,osm_node,osm,"{""osm"":""node/10994233206""}",rail,,SNTF,
23-002,El Hadjar,El Hadjar,محطة قطار الحجار,23,2303,El Hadjar,36.802478,7.740386,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117076248"",""osm"":""node/1867468924""}",rail,ligne d'Annaba à Djebel Onk,SNTF,
23-003,Sidi Amar,Sidi Amar,محطة قطار سيدي عمار,23,2311,Sidi Amar,36.810072,7.713194,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117288845"",""osm"":""node/1315711505""}",rail,ligne d'Annaba à Sidi Amar,SNTF,
23-004,Chaiba,Chaiba,محطة قطار شعيبة,23,2311,Sidi Amar,36.816841,7.725666,exact,wikidata,wikidata,"{""wikidata"":""Q117309063""}",rail,ligne d'Annaba à Sidi Amar,SNTF,
23-005,Sidi Achour,Sidi Achour,محطة قطار سيدي عاشور,23,2312,Treat,36.870278,7.724722,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117309091"",""osm"":""node/4001575718""}",rail,ligne d'Annaba à Sidi Amar,SNTF,
23-006,Boukhadra (Annaba),Boukhadra (Annaba),محطة قطار بوخضرة,23,2301,Annaba,36.874722,7.731111,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117309101"",""osm"":""node/10994361737""}",rail,ligne d'Annaba à Sidi Amar,SNTF,
23-007,Oued Zied,Oued Zied,محطة قطار وادي زياد,23,2305,El Bouni,36.828076,7.59714,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117321496"",""osm"":""node/10994469260""}",rail,ligne de Ramdane Djamel à Annaba,SNTF,
23-008,Berrahal,Berrahal,محطة قطار برحال,23,2302,Berrahal,36.835958,7.450825,exact,wikidata,wikidata,"{""wikidata"":""Q117321506""}",rail,ligne de Ramdane Djamel à Annaba,SNTF,
23-009,Annaba,Annaba,عنابة,23,2301,Annaba,36.8955,7.75912,exact,osm_node,wikidata+osm,"{""wikidata"":""Q3095638"",""osm"":""node/3482984487""}",rail,ligne d'Annaba à Sidi Amar | ligne d'Annaba à Djebel Onk | ligne de Ramdane Djamel à Annaba,SNTF,
23-010,Station Seraïdi,Station Seraïdi,محطة سرايدي,23,2308,Seraidi,36.910432,7.681447,exact,osm_node,osm,"{""osm"":""node/1212604182""}",aerial_tram,,,
23-011,Télécabine d'Annaba,Télécabine d'Annaba,تليفيريك عنابة,23,2312,Treat,36.8957,7.721,exact,osm_node,wikidata+osm,"{""wikidata"":""Q30314436"",""osm"":""node/1212604180""}",gondola,,,
24-001,Boukhamouza,Boukhamouza,محطة قطار بوكموزة,24,2406,Oued Ferragha,36.58149,7.754746,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117078554"",""osm"":""node/2423144551""}",rail,ligne d'Annaba à Djebel Onk,SNTF,
24-002,Oued Fragha,Oued Fragha,محطة قطار وادي فراغة,24,2406,Oued Ferragha,36.555215,7.714425,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117078874"",""osm"":""node/2423144591""}",rail,ligne d'Annaba à Djebel Onk,SNTF,
24-003,Boudaroua,Boudaroua,محطة قطار بوضروة,24,2406,Oued Ferragha,36.523257,7.707467,exact,wikidata,wikidata,"{""wikidata"":""Q117078928""}",rail,ligne d'Annaba à Djebel Onk,SNTF,
24-004,Bouchegouf,Bouchegouf,محطة قطار بوشقوف,24,2425,Bouchegouf,36.48996,7.720921,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117084312"",""osm"":""node/2423180894""}",rail,ligne d'Annaba à Djebel Onk,SNTF,
24-005,Medjez Sfa,Medjez Sfa,محطة قطار مجاز الصفاء,24,2430,Medjez Sfa,36.441685,7.770929,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117084319"",""osm"":""node/2423553556""}",rail,ligne d'Annaba à Djebel Onk,SNTF,
24-006,Aïn Tahmimine,Aïn Tahmimine,محطة قطار عين تحميمين,24,2430,Medjez Sfa,36.407218,7.801169,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117084328"",""osm"":""node/2423180551""}",rail,ligne d'Annaba à Djebel Onk,SNTF,
24-007,Aïn Affra,Aïn Affra,محطة قطار عين عفرة,24,2430,Medjez Sfa,36.399447,7.82869,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117084340"",""osm"":""node/2423180768""}",rail,ligne d'Annaba à Djebel Onk,SNTF,
25-001,Zighoud Youcef,Zighoud Youcef,,25,2504,Zighoud Youcef,36.530866,6.713052,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117608648"",""osm"":""node/9355174217""}",rail,ligne d'Alger à Skikda,SNTF,
25-002,Didouche Mourad,Didouche Mourad,ديدوش مراد,25,2505,Didouche Mourad,36.444785,6.633616,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117608843"",""osm"":""node/2585011679""}",rail,ligne d'Alger à Skikda,SNTF,
25-003,Kef Salah,Kef Salah,,25,2505,Didouche Mourad,36.431891,6.630483,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117609039"",""osm"":""node/9355150817""}",rail,ligne d'Alger à Skikda,SNTF,
25-004,Hamma Bouziane,Hamma Bouziane,,25,2502,Hamma Bouziane,36.404036,6.599607,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117609265"",""osm"":""node/4548366324""}",rail,ligne d'Alger à Skikda,SNTF,
25-005,Bekira,Bekira,بكيرة,25,2502,Hamma Bouziane,36.392313,6.607197,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117609508"",""osm"":""node/1856460047""}",rail,ligne d'Alger à Skikda,SNTF,
25-006,Ouled Rahmoune,Ouled Rahmoune,أولاد رحمون,25,2509,Ouled Rahmoun,36.170959,6.692689,exact,osm_node,wikidata+osm,"{""wikidata"":""Q117710776"",""osm"":""node/3917374659""}",rail,ligne d'Alger à Skikda,SNTF,
