id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,operator,technology,address
mobilis-15df1d6178,BENI ABBES,51,,BENI ABBES,بني عباس,30.130281,-2.1616,exact,operator_map,mobilis,mobilis,5G,
mobilis-15f5bafc1e,CHLEF,02,,CHLEF,الشلف,36.149371,1.32396,exact,operator_map,mobilis,mobilis,5G,
mobilis-1600f63220,TAMALOUS,21,,TAMALOUS,تمالوس,36.836611,6.630087,exact,operator_map,mobilis,mobilis,5G,
mobilis-1631f0e737,EL BOUNI,23,,EL BOUNI,البوني,36.836081,7.661694,exact,operator_map,mobilis,mobilis,5G,
mobilis-1646fe201d,RELIZANE,48,,RELIZANE,غليزان,35.730761,0.551666,exact,operator_map,mobilis,mobilis,5G,
mobilis-1696b82e90,BIR KHADEM,16,,BIR KHADEM,بئر خادم,36.712471,3.03746,exact,operator_map,mobilis,mobilis,5G,
mobilis-169864bf53,ORAN,31,,ORAN,وهران,35.710631,-0.62139,exact,operator_map,mobilis,mobilis,5G,
mobilis-169c342730,TAMANRASSET,11,,TAMANRASSET,تمنراست,22.790101,5.51873,exact,operator_map,mobilis,mobilis,5G,
mobilis-16d037b946,BOUGUIRAT,27,,BOUGUIRAT,بوقيراط,35.751101,0.26146,exact,operator_map,mobilis,mobilis,5G,
mobilis-16df30fe39,GOLEA,58,,GOLEA,المنيعة,30.602751,2.89732,exact,operator_map,mobilis,mobilis,5G,
mobilis-16dfecdeb3,BENI TAMOU,09,,BENI TAMOU,بني تامو,36.521801,2.80784,exact,operator_map,mobilis,mobilis,5G,
mobilis-16e5787cfc,BORDJ EL KIFFAN,16,,BORDJ EL KIFFAN,برج الكيفان,36.775211,3.25807,exact,operator_map,mobilis,mobilis,5G,
mobilis-172b773a4e,BLIDA,09,,BLIDA,البليدة,36.477261,2.827563,exact,operator_map,mobilis,mobilis,5G,
mobilis-174d8a40d4,TLEMCEN,13,,TLEMCEN,تلمسان,34.871211,-1.31268,exact,operator_map,mobilis,mobilis,5G,
mobilis-1783efffda,KHRAISSIA,16,,KHRAISSIA,الخرايسية,36.664391,3.01901,exact,operator_map,mobilis,mobilis,5G,
mobilis-17b7af3d13,FIL FILA,21,,FIL FILA,فلفلة,36.883681,7.03561,exact,operator_map,mobilis,mobilis,5G,
mobilis-17c6a31159,TLEMCEN,13,,TLEMCEN,تلمسان,34.923371,-1.348305,exact,operator_map,mobilis,mobilis,5G,
mobilis-17f8348ac6,LAGHOUAT,03,,LAGHOUAT,الأغواط,33.797191,2.88375,exact,operator_map,mobilis,mobilis,5G,
mobilis-182f184893,OULED FAYET,16,,OULED FAYET,أولاد فايت,36.740951,2.9489,exact,operator_map,mobilis,mobilis,5G,
mobilis-183305ec82,OUARGLA,30,,OUARGLA,ورقلة,31.922201,5.311892,exact,operator_map,mobilis,mobilis,5G,
mobilis-1858bf71ac,SETIF,19,,SETIF,سطيف,36.206731,5.409772,exact,operator_map,mobilis,mobilis,5G,
mobilis-185a7cbc06,EL OUED,39,,EL OUED,الوادي,33.395181,6.88233,exact,operator_map,mobilis,mobilis,5G,
mobilis-186e2d250e,SETIF,19,,SETIF,سطيف,36.175541,5.380357,exact,operator_map,mobilis,mobilis,5G,
mobilis-1915769b44,SIDI BEL ABBES,22,,SIDI BEL ABBES,سيدي بلعباس,35.220011,-0.64387,exact,operator_map,mobilis,mobilis,5G,
mobilis-1919942124,ZERALDA,16,,ZERALDA,زرالدة,36.708411,2.84793,exact,operator_map,mobilis,mobilis,5G,
mobilis-194b2a86a4,AIN-TEMOUCHENT,46,,AIN-TEMOUCHENT,عين تموشنت,35.302551,-1.1394,exact,operator_map,mobilis,mobilis,5G,
mobilis-19726f940f,SAOULA,16,,SAOULA,السحاولة,36.677801,3.03069,exact,operator_map,mobilis,mobilis,5G,
mobilis-1997389ab5,MILA,43,,MILA,ميلة,36.444971,6.25271,exact,operator_map,mobilis,mobilis,5G,
mobilis-19c3200955,AIN OUESSARA,17,,AIN OUESSARA,عين وسارة,35.459281,2.90272,exact,operator_map,mobilis,mobilis,5G,
mobilis-19cbad5330,BIR EL OUIDEN,21,,BIR EL OUIDEN,بئر الويدان,36.813591,6.558366,exact,operator_map,mobilis,mobilis,5G,
mobilis-19deadfc4e,IN SALAH,53,,IN SALAH,عين صالح,27.212381,2.46218,exact,operator_map,mobilis,mobilis,5G,
mobilis-1a273df65f,TLEMCEN,13,,TLEMCEN,تلمسان,34.910541,-1.34636,exact,operator_map,mobilis,mobilis,5G,
mobilis-1a3bbbc1a1,CHERAGA,16,,CHERAGA,الشراقة,36.761141,2.927215,exact,operator_map,mobilis,mobilis,5G,
mobilis-1a665435f0,BARAKI,16,,BARAKI,براقي,36.666851,3.1088,exact,operator_map,mobilis,mobilis,5G,
mobilis-1a8c480984,BENI MESSOUS,16,,BENI MESSOUS,بني مسوس,36.780351,2.96816,exact,operator_map,mobilis,mobilis,5G,
mobilis-1a8e8e3134,BIR EL DJIR,31,,BIR EL DJIR,بئر الجير,35.734331,-0.564711,exact,operator_map,mobilis,mobilis,5G,
mobilis-1aa00e198a,BATNA,05,,BATNA,باتنة,35.541361,6.18912,exact,operator_map,mobilis,mobilis,5G,
mobilis-1adece73e0,BIR KHADEM,16,,BIR KHADEM,بئر خادم,36.708691,3.06428,exact,operator_map,mobilis,mobilis,5G,
mobilis-1be2de24f2,DAR EL BEIDA,16,,DAR EL BEIDA,الدار البيضاء,36.717931,3.20535,exact,operator_map,mobilis,mobilis,5G,
mobilis-1c08ccba20,BISKRA,07,,BISKRA,بسكرة,34.842871,5.722003,exact,operator_map,mobilis,mobilis,5G,
mobilis-1c572e5ae1,BECHAR,08,,BECHAR,بشار,31.572781,-2.23065,exact,operator_map,mobilis,mobilis,5G,
mobilis-1c6147d57c,SIDI BEL ABBES,22,,SIDI BEL ABBES,سيدي بلعباس,35.189931,-0.63029,exact,operator_map,mobilis,mobilis,5G,
mobilis-1c7d03d7d3,EL KHROUB,25,,EL KHROUB,الخروب,36.238701,6.57022,exact,operator_map,mobilis,mobilis,5G,
