id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,operator,technology,address
ooredoo-645c488645,IN SALAH,53,,IN SALAH,,27.1936706238,2.4838179189,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-64e2258367,SIG,29,,SIG,,35.5304063664,-0.1754796593,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-6508b79f0d,BEJAIA,06,,BEJAIA,,36.7704053699,5.0028733646,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-6658e39098,TIMIMOUN,49,,TIMIMOUN,,29.5959977484,1.2970393797,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-66fa8c4737,ABALESSA,11,,ABALESSA,,22.3733367438,3.4131863633,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-67ed47d088,BAB EZZOUAR,16,,BAB EZZOUAR,,36.720638235,3.1859522538,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-69eb3532cd,TOUGGOURT,55,,TOUGGOURT,,33.1237161863,5.9177671197,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-6affb1c313,DRARIA,16,,DRARIA,,36.7146891006,3.0028650707,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-6e7b543f79,TIARET,14,,TIARET,,35.3487104006,1.3396861853,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-70e7854727,EL KHROUB,25,,EL KHROUB,,36.2610589783,6.6593922835,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-7110f161fc,SOUIDANIA,16,,SOUIDANIA,,36.7108717624,2.9027611406,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-71c0193738,SIDI M'HAMED,16,,SIDI M'HAMED,,36.7587889894,3.0546552442,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-732f4c2dbc,EL MADANIA,16,,EL MADANIA,,36.7416542856,3.0694423754,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-7532d25062,HAMMA BOUZIANE,25,,HAMMA BOUZIANE,,36.4254389142,6.5580767096,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-75745a79a8,CORSO,35,,CORSO,,36.7355360264,3.4416305769,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-75b4af18d7,BOU ISMAIL,42,,BOU ISMAIL,,36.6410864811,2.7061788074,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-7621eaa3a2,EL HAMMAMET,16,,EL HAMMAMET,,36.8043081112,2.9722573768,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-7672b74d91,SKIKDA,21,,SKIKDA,,36.8737147487,6.9206764488,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-774b7a1c31,BAB EL OUED,16,,BAB EL OUED,,36.7915447448,3.0522743958,approximate,operator_commune_point,ooredoo,ooredoo,5G,
