id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,operator,technology,address
djezzy-eb1fdb550c,Ain Azal 5,19,,,,35.80958,5.51051,exact,operator_map,djezzy,djezzy,5G,AIN AZAL
djezzy-eb35509364,V_CITE EL RIADH_T,25,,,,36.35604,6.65182,exact,operator_map,djezzy,djezzy,5G,Constantine
djezzy-eb89f010c3,Sorical_1,16,,,,36.7399,3.1871,exact,operator_map,djezzy,djezzy,5G,BORDJ EL KIFFAN
djezzy-ebc6ef3d9c,DJISR KESENTINA_2,16,,,,36.707821,3.082679,exact,operator_map,djezzy,djezzy,5G,DJISR KSENTINA
djezzy-ec40a0661e,HADJ YAKOUB,16,,,,36.652,2.92201,exact,operator_map,djezzy,djezzy,5G,DOUERA
djezzy-ec42886e7e,Ali khoudja,16,,,,36.7076,3.15662,exact,operator_map,djezzy,djezzy,5G,OUED SMAR
djezzy-ec73815d0b,cite 2100 lgts mahelama,16,,,,36.6837,2.8713,exact,operator_map,djezzy,djezzy,5G,MAHELMA
djezzy-ecf666b325,Centre Commercial  ECOSIOM,16,,,,36.76871,3.02694,exact,operator_map,djezzy,djezzy,5G,EL BIAR
djezzy-ed0be9afbb,Oujlida_Extention,13,,,,34.9226,-1.3433,exact,operator_map,djezzy,djezzy,5G,Tlemcen
djezzy-ed42c33b73,Place Front de mer,31,,,,35.705298,-0.635436,exact,operator_map,djezzy,djezzy,5G,Oran
djezzy-eda4fe5a8e,Hai Es sabah,31,,,,35.69846,-0.57302,exact,operator_map,djezzy,djezzy,5G,SIDI CHAMI
djezzy-eda6dbedc6,Frais Vallon,16,,,,36.77545,3.03509,exact,operator_map,djezzy,djezzy,5G,BOUZAREAH
djezzy-edb253485b,CITE 11 DECEMBRE AIN BENIANE ,16,,,,36.80261,2.9453,exact,operator_map,djezzy,djezzy,5G,AIN BENIAN
djezzy-edc6942692,Résidence MARIA,16,,,,36.6713,2.949,exact,operator_map,djezzy,djezzy,5G,DOUERA
djezzy-ee1f8426cf,EVOLUTEC,21,,,,36.83669,6.95516,exact,operator_map,djezzy,djezzy,5G,EL MARSA
djezzy-eec008b1a3,Djenan achabou 2 Dar Diaf,16,,,,36.763681,2.979301,exact,operator_map,djezzy,djezzy,5G,DELY BRAHIM
djezzy-eee10b2264,El Eulma Site 5,19,,,,36.1605,5.67631,exact,operator_map,djezzy,djezzy,5G,EL EULMA
djezzy-ef144841fe,Cite laurier Rose SMK,25,,,,36.36645,6.64041,exact,operator_map,djezzy,djezzy,5G,Constantine
djezzy-efab41de9e,Cite les Taxis,13,,,,34.89196,-1.32428,exact,operator_map,djezzy,djezzy,5G,Tlemcen
djezzy-efb561dc16,Cite Des Villas,31,,,,35.6541666666667,-0.620916666666667,exact,operator_map,djezzy,djezzy,5G,ES SENIA
djezzy-f02e46f089,Sidi SNOUSSI,13,,,,34.877285,-1.296797,exact,operator_map,djezzy,djezzy,5G,Tlemcen
djezzy-f02f34738a,Said Othba,30,,,,31.97823,5.33277,exact,operator_map,djezzy,djezzy,5G,Ouargla
djezzy-f038f3a5dd,Rais menouar,09,,,,36.6177,3.2265,exact,operator_map,djezzy,djezzy,5G,MEFTAH
