id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,code,address,address_ar
45-001,Agence Commerciale Ain Sefra,الوكالة التجارية عين الصفراء,45,,,32.75631667290081,-0.579478073627069,exact,mobilis,mobilis,agence,12244,"Rue Si Mansour, Centre Ville, Ain Sefra, Naama","شارع سي منصور، وسط مدينة عين الصفراء, النعامة."
45-002,Agence Commerciale Mechria,الوكالة التجارية المشرية,45,,,33.54601839378138,-0.2715711047841207,exact,mobilis,mobilis,agence,12245,"Cité Cheikh Benyamina bloc19, Mechria, Naama",حي شيخ بن يمينة رقم 19، مشرية.النعامة
45-003,Agence Commerciale Naama,الوكالة التجارية النعامة,45,,,33.268305038146,-0.312132865214776,exact,mobilis,mobilis,agence,12246,"Route Nationale N° 06, Naama","الطريق الوطني رقم 06, النعامة"
46-001,Agence Commerciale Ain Timouchent,الوكالة التجارية عين تيموشنت,46,,,35.291794,-1.140464,exact,mobilis,mobilis,agence,12288,"Rue 01 Novembre , Ain Temouchent","شارع أول نوفمبر،, عين تيموشنت"
46-002,Agence Commerciale Beni Saf,الوكالة التجارية بني صاف,46,,,35.302176,-1.382682,exact,mobilis,mobilis,agence,12289,"Avenue Kadri Kadour ex Jean Kuras, Beni Saf, Ain Temouchent","شارع قادري قدور(جون كوراس سابقا)، بني صاف, عين تيموشنت."
46-003,Agence Commerciale Hammam Bouhdjer,الوكالة التجارية حمام بوحجر,46,,,35.377494,-0.970471,exact,mobilis,mobilis,agence,12290,"Rue Larbi Ben M'hidi, Ain Temouchent","شارع العربي بن مهيدي, حمام بوحجر ,عين تموشنت"
47-001,Agence Commerciale El Guerrara,الوكالة التجارية الڨرارة,47,,,32.7888419032447,4.488187912757122,exact,mobilis,mobilis,agence,12316,"Cité Sakyate Elaine,Rue 1er Novembre centre ville, Guerrara, Gherdaia","حي ساقية العين, شارع أول نوفمبر, القرارة, غرداية."
47-002,Agence Commerciale Ghardaia,الوكالة التجارية غرداية,47,,,32.486127696706525,3.677377490053387,exact,mobilis,mobilis,agence,12317,"Rue Talbi Ahmed, Ghardaia",شارع طالبي أحمد، غرداية.
47-003,Agence Commerciale Metllili,الوكالة التجارية متليلي,47,,,32.263806185935856,3.627335070405927,exact,mobilis,mobilis,agence,12318,"Rue Emir Abdelkader, Metllili, Ghardaia",شارع الأمير عبد القادر - متليلي - غرداية
48-001,Agence Commerciale Mazouna,الوكالة التجارية مازونة,48,,,36.12049114821629,0.8674260151141125,exact,mobilis,mobilis,agence,12261,Centre Algerie Telecom Mazouna,مركب الاتصالات حي 5جوبلية ، مازونة - غليزان.
48-002,Agence Commerciale Oued Rhiou,الوكالة التجارية وادي رهيو,48,,,35.960373750590094,0.914888235710648,exact,mobilis,mobilis,agence,12262,"Boulevard des martyrs, RN N°04",شارع الشهداء، الطريق الوطني 04، وادي رهيو،، غليزان
48-003,Agence Commerciale Relizane,الوكالة التجارية غليزان,48,,,35.741387067276726,0.5523530175830521,exact,mobilis,mobilis,agence,12263,"Rue Aouad Djebar, Centre ville de Relizane",طريق عواد جبار، وسط المدينة، غليزان
49-001,Agence Commerciale Timimoune,الوكالة التجارية تيميمون,49,,,29.257878991164493,0.23026124420589786,exact,mobilis,mobilis,agence,12247,"Rue Palestine, Timimoune, Adrar",شارع فلسطين، تيميمون. أدرار
50-001,Agence Commerciale Bordj Badji Mokhtar,الوكالة التجارية  برج باجي مختار,50,,,21.318254,0.965259,exact,mobilis,mobilis,agence,12249,"Rue 1 er novembre ,Bordj Badji el Mokhtar",شارع أول نوفمبر ، برج باجي مختار
52-001,Agence Commerciale Beni Abbes,الوكالة التجارية بني عباس,52,,,30.132161500005363,-2.1706146345450037,exact,mobilis,mobilis,agence,12241,"Rue 20 Aout Beni Abbes, Beni Abbes",حي 20 أوت، بني عباس، بني عباس
53-001,Agence Commerciale In Salah,الوكالة التجارية عين صالح,53,,,27.19543177608449,2.479238796041063,exact,mobilis,mobilis,agence,12311,"Centre Ville, In Salah","حي وسط المدينة, عين صالح."
55-001,Agence Commerciale Touggourt,الوكالة التجارية تقرت,55,,,33.1068387470546,6.07007693608814,exact,mobilis,mobilis,agence,12310,"Cité 360 logts, Touggourt",حي 360 مسكن، تقرت
56-001,Agence Commerciale Djanet,االوكالة التجارية جانت,56,,,24.554205918291057,9.485223047783492,exact,mobilis,mobilis,agence,12308,"Centre ville boulevard Tim Khatem, Djanet","وسط المدينة, شارع تيم الخاتم، جانت"
57-001,Agence Commerciale El Meghier,الوكالة التجارية المغير,57,,,33.95024576797182,5.926283137328042,exact,mobilis,mobilis,agence,12313,"Rue berabah Ali, El Meghier",شارع برباح علي المغير.
58-001,Agence Commerciale El Meniaa,الوكالة التجارية المنيعة,58,,,30.580591817625425,2.8828559973535572,exact,mobilis,mobilis,agence,12309,"Rue EL Qods, centre ville, El Menia",شارع القدس، وسط المدينة، المنيعة
