id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,osm_type,osm_id,operator_ids,line_ids,wilaya_method,roles,highway,public_transport
osm-node-10035252936,Chadli 2 bus stop,,,19,,,36.202952,5.427522,exact,osm_node,osm,"{""osm"":""node/10035252936""}",node,10035252936,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252937,Hidhab 1 bus platform,,,19,,,36.204595,5.431062,exact,osm_node,osm,"{""osm"":""node/10035252937""}",node,10035252937,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252938,Hidhab 1 bus stop,,,19,,,36.204634,5.431037,exact,osm_node,osm,"{""osm"":""node/10035252938""}",node,10035252938,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252939,Hidhab 1 bus stop,,,19,,,36.204725,5.431004,exact,osm_node,osm,"{""osm"":""node/10035252939""}",node,10035252939,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252945,Hidhab 4 bus stop,,,19,,,36.208306,5.438171,exact,osm_node,osm,"{""osm"":""node/10035252945""}",node,10035252945,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252946,Hidhab 5 bus platform,,,19,,,36.210012,5.440453,exact,osm_node,osm,"{""osm"":""node/10035252946""}",node,10035252946,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252947,Hidhab 5 bus platform,,,19,,,36.210072,5.440337,exact,osm_node,osm,"{""osm"":""node/10035252947""}",node,10035252947,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252948,Hidhab 6 bus platform,,,19,,,36.212586,5.443633,exact,osm_node,osm,"{""osm"":""node/10035252948""}",node,10035252948,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252950,Hidhab 6 Bus Stop,,,19,,,36.212651,5.443533,exact,osm_node,osm,"{""osm"":""node/10035252950""}",node,10035252950,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10035252951,GR ETUS,,,19,,,36.185313,5.392059,exact,osm_node,osm,"{""osm"":""node/10035252951""}",node,10035252951,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252952,Samu ETUS,Samu ETUS,,19,,,36.181583,5.398713,exact,osm_node,osm,"{""osm"":""node/10035252952""}",node,10035252952,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252953,Mahdi ETUS,Mahdi ETUS,,19,,,36.180201,5.402344,exact,osm_node,osm,"{""osm"":""node/10035252953""}",node,10035252953,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252959,Laararsa 2,,,19,,,36.201146,5.415412,exact,osm_node,osm,"{""osm"":""node/10035252959""}",node,10035252959,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252960,Laararsa 1,,,19,,,36.200495,5.412129,exact,osm_node,osm,"{""osm"":""node/10035252960""}",node,10035252960,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252961,500 Logs 1,,,19,,,36.201563,5.417837,exact,osm_node,osm,"{""osm"":""node/10035252961""}",node,10035252961,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252962,500 Logs 2,,,19,,,36.202016,5.421573,exact,osm_node,osm,"{""osm"":""node/10035252962""}",node,10035252962,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252963,Chadli 1,,,19,,,36.202194,5.423813,exact,osm_node,osm,"{""osm"":""node/10035252963""}",node,10035252963,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252964,Chadli 2 bus platform,,,19,,,36.203017,5.427512,exact,osm_node,osm,"{""osm"":""node/10035252964""}",node,10035252964,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252965,Hidhab 1 bus platform,,,19,,,36.204773,5.430986,exact,osm_node,osm,"{""osm"":""node/10035252965""}",node,10035252965,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252968,Hidhab 4 bus platform,,,19,,,36.208344,5.438121,exact,osm_node,osm,"{""osm"":""node/10035252968""}",node,10035252968,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252969,Hidhab 5 bus platform,,,19,,,36.210116,5.440284,exact,osm_node,osm,"{""osm"":""node/10035252969""}",node,10035252969,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10035252970,Hidhab 6 Bus Platform,,,19,,,36.212689,5.44347,exact,osm_node,osm,"{""osm"":""node/10035252970""}",node,10035252970,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10036316611,Hidhab 4 bus stop,,,19,,,36.20826,5.438262,exact,osm_node,osm,"{""osm"":""node/10036316611""}",node,10036316611,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10036316614,University of Setif Bus Platform,Plateforme de bus de l'Université de Sétif,,19,,,36.213502,5.445216,exact,osm_node,osm,"{""osm"":""node/10036316614""}",node,10036316614,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10036316615,Malizia ETUS,,,19,,,36.182725,5.405196,exact,osm_node,osm,"{""osm"":""node/10036316615""}",node,10036316615,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10036316616,Guessab bus stop,,,19,,,36.182739,5.40518,exact,osm_node,osm,"{""osm"":""node/10036316616""}",node,10036316616,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10036333652,Hidhab 5 bus platform,,,19,,,36.209991,5.4405,exact,osm_node,osm,"{""osm"":""node/10036333652""}",node,10036333652,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10036333653,Hidhab 6 Bus Platform,,,19,,,36.212548,5.443691,exact,osm_node,osm,"{""osm"":""node/10036333653""}",node,10036333653,"[""etus-setif""]","[""etus-setif-104""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10043547684,Stade 500 logts,,,19,,,36.206984,5.423478,exact,osm_node,osm,"{""osm"":""node/10043547684""}",node,10043547684,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10043547685,Stade 500 logts,,,19,,,36.207056,5.423498,exact,osm_node,osm,"{""osm"":""node/10043547685""}",node,10043547685,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10043547686,Stade 500 logts,,,19,,,36.20724,5.423563,exact,osm_node,osm,"{""osm"":""node/10043547686""}",node,10043547686,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10043547687,Ecole Primaire,,,19,,,36.206519,5.425815,exact,osm_node,osm,"{""osm"":""node/10043547687""}",node,10043547687,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10043547688,Ecole Primaire,,,19,,,36.206756,5.425904,exact,osm_node,osm,"{""osm"":""node/10043547688""}",node,10043547688,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10043547689,Ecole Primaire,,,19,,,36.206584,5.425841,exact,osm_node,osm,"{""osm"":""node/10043547689""}",node,10043547689,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10043547690,Ecole Primaire,,,19,,,36.206692,5.425881,exact,osm_node,osm,"{""osm"":""node/10043547690""}",node,10043547690,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10043547691,407 Logts,,,19,,,36.205392,5.428507,exact,osm_node,osm,"{""osm"":""node/10043547691""}",node,10043547691,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10043547692,407 Logts,,,19,,,36.205553,5.42874,exact,osm_node,osm,"{""osm"":""node/10043547692""}",node,10043547692,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10043547693,Htatba,,,19,,,36.203166,5.430745,exact,osm_node,osm,"{""osm"":""node/10043547693""}",node,10043547693,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10043547695,Htatba,,,19,,,36.203182,5.430805,exact,osm_node,osm,"{""osm"":""node/10043547695""}",node,10043547695,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10043547696,Htatba,,,19,,,36.203241,5.43096,exact,osm_node,osm,"{""osm"":""node/10043547696""}",node,10043547696,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""stop""]",,stop_position
osm-node-10043547699,1006 Logts 2,,,19,,,36.198641,5.433946,exact,osm_node,osm,"{""osm"":""node/10043547699""}",node,10043547699,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10043547700,1006 Logts 2,,,19,,,36.198703,5.434122,exact,osm_node,osm,"{""osm"":""node/10043547700""}",node,10043547700,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""platform""]",bus_stop,platform
osm-node-10043547701,1006 Logts 2,,,19,,,36.198643,5.43398,exact,osm_node,osm,"{""osm"":""node/10043547701""}",node,10043547701,"[""etus-setif""]","[""etus-setif-101""]",point_in_wilaya,"[""stop""]",,stop_position
