id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,category,type_label_fr,type_label_ar,has_virtual_tour,url,slug
02-library-06,Bibliothèque semi-urbaine d'El Karimia – martyr Belboula Henni,Bibliothèque semi-urbaine d'El Karimia – martyr Belboula Henni,المكتبة النصف حضرية الكريمية - الشهيد بلبولة هني,02,0204,El Karimia,36.112631,1.551076,exact,source_point,patrimoine,"{""patrimoine"":""1028""}",library,heritage,Bibliothèque,مكتبة,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1028,bibliotheque-semi-urbaine-d-el-karimia-martyr-belboula-henni
02-maison-01,Maison de la culture,Maison de la culture,دار الثقافة,02,0201,Chlef,36.161663,1.344937,exact,source_point,patrimoine,"{""patrimoine"":""976""}",cultural-house,establishment,Maison de la culture,دار الثقافة,false,https://cartes.patrimoineculturelalgerien.org/ar/node/976,maison-de-la-culture
02-museum-01,Musée public national Abdelmadjid Meziane,Musée public national Abdelmadjid Meziane,المتحف العمومي الوطني عبد المجيد مزيان,02,0201,Chlef,36.161013,1.333597,exact,source_point,patrimoine,"{""patrimoine"":""649""}",museum,heritage,Musée,متحف,false,https://cartes.patrimoineculturelalgerien.org/ar/node/649,musee-public-national-abdelmadjid-meziane
02-theatre-01,Théâtre de plein air de Ténès,Théâtre de plein air de Ténès,مسرح الهواء الطلق تنس,02,0202,Tenes,36.518995,1.318123,exact,source_point,patrimoine,"{""patrimoine"":""972""}",theatre,heritage,Théâtre,مسرح,false,https://cartes.patrimoineculturelalgerien.org/ar/node/972,theatre-de-plein-air-de-tenes
03-bcp-01,Ancien bordj de Sidi Makhlouf,Ancien bordj de Sidi Makhlouf,البرج القديم بسيدي مخلوف,03,0304,Sidi Makhlouf,34.129266,3.020563,exact,source_point,patrimoine,"{""patrimoine"":""266""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/266,ancien-bordj-de-sidi-makhlouf
03-bcp-02,Ancienne horloge,Ancienne horloge,الساعة القديمة,03,0301,Laghouat,33.805966,2.883319,exact,source_point,patrimoine,"{""patrimoine"":""248""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/248,ancienne-horloge
03-bcp-03,Bordj Bescarine,Bordj Bescarine,برج بوسكارین,03,0301,Laghouat,33.803663,2.880414,exact,source_point,patrimoine,"{""patrimoine"":""1126""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1126,bordj-bescarine
03-bcp-04,Cratère météoritique de Madna (Talemzane),Cratère météoritique de Madna (Talemzane),فوھة مادنة النیزكیة (تالمزان),03,0305,Hassi Delaa,33.314464,4.036276,exact,source_point,patrimoine,"{""patrimoine"":""1127""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1127,cratere-meteoritique-de-madna-talemzane
03-bcp-05,Dar Bouamer,Dar Bouamer,دار بوعامر,03,0301,Laghouat,33.804736,2.880221,exact,source_point,patrimoine,"{""patrimoine"":""261""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/261,dar-bouamer
03-bcp-06,Demeure du saint Sidi El Hadj Aïssa,Demeure du saint Sidi El Hadj Aïssa,دار الولي الصالح سيدي الحاج عيسى,03,0301,Laghouat,33.807646,2.883413,exact,source_point,patrimoine,"{""patrimoine"":""260""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/260,demeure-du-saint-sidi-el-hadj-aissa
03-bcp-07,Ksar d'Aïn Madhi,Ksar d'Aïn Madhi,قصر عین ماضي,03,0307,Ain Madhi,33.794057,2.301312,approximate,source_point,patrimoine,"{""patrimoine"":""1391""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1391,ksar-d-ain-madhi
03-bcp-08,Ksar d'El Assafia,Ksar d'El Assafia,قصر العسافية,03,0320,El Assafia,33.824996,2.991532,exact,source_point,patrimoine,"{""patrimoine"":""264""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/264,ksar-d-el-assafia
03-bcp-09,Ksar d'El Houita,Ksar d'El Houita,قصر الحویطة,03,0323,El Haouaita,33.646692,2.450142,exact,source_point,patrimoine,"{""patrimoine"":""1389""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1389,ksar-d-el-houita
03-bcp-10,Ksar d'El Kheneg (El Bedouiat),Ksar d'El Kheneg (El Bedouiat),قصر الخنق “البدویات”,03,0309,Kheneg,33.751692,2.802678,exact,source_point,patrimoine,"{""patrimoine"":""1342""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1342,ksar-d-el-kheneg-el-bedouiat
03-bcp-11,Ksar de Kourdane,Ksar de Kourdane,قصر كوردان,03,0307,Ain Madhi,33.849803,2.340597,exact,source_point,patrimoine,"{""patrimoine"":""379""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/379,ksar-de-kourdane
03-bcp-12,Ksar de Lalmaya,Ksar de Lalmaya,قصر لالمایة,03,0318,Tadjrouna,33.428796,1.993157,exact,source_point,patrimoine,"{""patrimoine"":""1330""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1330,ksar-de-lalmaya
03-bcp-13,Ksar de Tadjmout,Ksar de Tadjmout,قصر تاجموت,03,0308,Tadjemout,33.875476,2.524977,exact,source_point,patrimoine,"{""patrimoine"":""1338""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1338,ksar-de-tadjmout
03-bcp-14,Ksar de Tadjrouna,Ksar de Tadjrouna,قصر تاجرونة,03,0318,Tadjrouna,33.501751,2.104216,exact,source_point,patrimoine,"{""patrimoine"":""269""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/269,ksar-de-tadjrouna
03-bcp-15,Mosquée antique d'El Houita,Mosquée antique d'El Houita,المسجد العتیق بالحویطة,03,0323,El Haouaita,33.646742,2.450174,exact,source_point,patrimoine,"{""patrimoine"":""1390""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1390,mosquee-antique-d-el-houita
03-bcp-16,Mosquée antique de Laghouat,Mosquée antique de Laghouat,المسجد العتيق الأغواط,03,0301,Laghouat,33.804569,2.881035,exact,source_point,patrimoine,"{""patrimoine"":""250""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/250,mosquee-antique-de-laghouat
03-bcp-17,Mosquée antique de Lalmaya,Mosquée antique de Lalmaya,المسجد العتیق بلالمایة,03,0318,Tadjrouna,33.427168,1.997301,exact,source_point,patrimoine,"{""patrimoine"":""1334""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1334,mosquee-antique-de-lalmaya
03-bcp-18,Mosquée antique de Tadjmout,Mosquée antique de Tadjmout,المسجد العتیق بتاجموت,03,0308,Tadjemout,33.875538,2.5252,exact,source_point,patrimoine,"{""patrimoine"":""1340""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1340,mosquee-antique-de-tadjmout
03-bcp-19,Mosquée antique de Tadjrouna,Mosquée antique de Tadjrouna,المسجد العتیق بتاجرونة,03,0318,Tadjrouna,33.501174,2.103312,exact,source_point,patrimoine,"{""patrimoine"":""1331""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/1331,mosquee-antique-de-tadjrouna
03-bcp-20,Mosquée Ech Chadhilia,Mosquée Ech Chadhilia,مسجد الشاذلية,03,0301,Laghouat,33.80646,2.884176,exact,source_point,patrimoine,"{""patrimoine"":""257""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/257,mosquee-ech-chadhilia
03-bcp-21,Mosquée El Khalifa,Mosquée El Khalifa,مسجد الخليفة,03,0301,Laghouat,33.806675,2.883531,exact,source_point,patrimoine,"{""patrimoine"":""259""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/259,mosquee-el-khalifa
03-bcp-22,Mosquée Es Saffah,Mosquée Es Saffah,مسجد الصفاح,03,0301,Laghouat,33.804784,2.881817,exact,source_point,patrimoine,"{""patrimoine"":""253""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/253,mosquee-es-saffah
03-bcp-23,Mosquée Et Taouti,Mosquée Et Taouti,مسجد التاوتي,03,0301,Laghouat,33.805496,2.879343,exact,source_point,patrimoine,"{""patrimoine"":""255""}",protected-cultural-property,heritage,Bien culturel protégé,ممتلك ثقافي محمي,false,https://cartes.patrimoineculturelalgerien.org/ar/node/255,mosquee-et-taouti
