id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,operator,address,sources
230102,Agence de Sidi Brahim,23,,Annaba,36.89262144958703,7.752825084569422,exact,carrier_relay,guepex,guepex,Champs de mars numéro n°3,"[""guepex"",""yalidine""]"
230103,Agence Sidi Achour,23,,Annaba,36.885157221183945,7.71491466148644,exact,carrier_relay,guepex,yalidine,"إقامة المنظر الجميل, Rte de Sidi Achour, Annaba","[""guepex"",""yalidine""]"
230501,Agence de El Bouni,23,,El Bouni,36.8559068,7.750210399999999,exact,carrier_relay,guepex,guepex,"El Bouni – Centre, Section n°47, Groupe de propriété n°135, Immeuble n°01","[""guepex"",""yalidine""]"
23401,Agence de Ténès,02,,Ténès,36.50473150265476,1.286761899576662,exact,carrier_relay,guepex,guepex,"Bt A2 Rdc Local 28, Sortie Ouest Route De Mostaganem","[""guepex"",""yalidine""]"
241901,Nouvelle Agence Guelma,24,,Guelma,36.45597784442608,7.426379566015017,exact,carrier_relay,guepex,yalidine,"Route Ain Larbi, local N°01, Guelma","[""guepex"",""yalidine""]"
243001,Agence de Oued Zenati,24,,Oued Zenati,36.30792321013235,7.160464035448827,exact,carrier_relay,guepex,guepex,Magasin Num 02,"[""guepex"",""yalidine""]"
250401,Agence Belle Vue,25,,Constantine,36.3529999173718,6.608103735250445,exact,carrier_relay,guepex,yalidine,"70 Rue Belle Vue, Les Combattants (Ancienne Ville)","[""guepex"",""yalidine""]"
250402,Agence Sidi Mabrouk,25,,Constantine,36.36117011786894,6.636566271164361,exact,carrier_relay,guepex,guepex,نهج لعراقب احمد رقم 09,"[""guepex"",""yalidine""]"
250403,Agence de Constantine (Zouaghi),25,,Constantine,36.31233464226101,6.625446226981942,exact,carrier_relay,guepex,zimou-express,"Illot N°01 , 212, ain el bay, zouaghi, Constantine","[""guepex"",""yalidine""]"
250501,Agence de Didouche Mourad,25,,Didouche Mourad,36.44833167015881,6.630756215108476,exact,carrier_relay,guepex,yalidine,El Riadh n°10,"[""guepex"",""yalidine""]"
250601,Agence d'El Khroub,25,,El Khroub,36.264496940142756,6.689403542328722,exact,carrier_relay,guepex,guepex,Cité Bouhali Mohamed Said El Khroub,"[""guepex"",""yalidine""]"
250602,Agence Nouvelle Ville Ali Mendjeli,25,,El Khroub,36.25992159231852,6.593449177806023,exact,carrier_relay,guepex,yalidine,"Zone d'Activité N°47 Nouvelle Ville, Ali Mendjeli , El Khroub, Constantine","[""guepex"",""yalidine""]"
