id,name,status,postal_code,postal_code_old,address,commune_fr,commune_ar,wilaya_code,wilaya_fr,wilaya_ar,lat,lng
1765,AIN FAKROUN,1,04005,,,AIN FAKROUN,عين فكرون,04,OUM EL BOUAGHI,أم البواقي,35.9751803,6.8743274
1679,AIN KERCHA,1,04006,,,AIN KERCHA,عين كرشة,04,OUM EL BOUAGHI,أم البواقي,35.9255826,6.6989348
1552,DHALA,1,04008,,,DHALAA,الضلعة,04,OUM EL BOUAGHI,أم البواقي,35.8762967,7.1176767
1270,HAI ENNACER,1,04009,,,OUM EL BOUAGHI,أم البواقي,04,OUM EL BOUAGHI,أم البواقي,35.87644,7.117275
2014,SOUK NAAMANE,1,04010,,,SOUK NAAMANE,سوق نعمان,04,OUM EL BOUAGHI,أم البواقي,35.8968058,6.3941108
2016,SIGUS,1,04011,,,SIGUS,سيقوس,04,OUM EL BOUAGHI,أم البواقي,35.8764962,7.1172557
2379,HENCHIR TOUMGHANI,1,04012,,,HANCHIR TOUMGHANI,هنشير تومغاني,04,OUM EL BOUAGHI,أم البواقي,35.9329384,6.7402894
10609,AIN FAKROUN SATHA,1,04016,,,AIN FAKROUN,عين فكرون,04,OUM EL BOUAGHI,أم البواقي,35.9688599,6.8759887
1681,KSAR SBAHI,1,04018,,,KSAR SBAHI,قصر الصباحي,04,OUM EL BOUAGHI,أم البواقي,35.8763767,7.117345
1269,OULED HAMLA,1,04019,,,OULED HAMLA,أولاد حملة,04,OUM EL BOUAGHI,أم البواقي,36.0783411,6.4687856
1678,AIN BABOUCHE,1,04020,,,AIN BABOUCHE,عين بابوش,04,OUM EL BOUAGHI,أم البواقي,35.8770233,7.1177433
2378,BIR CHOUHADA,1,04021,,,BIR CHOUHADA,بئر الشهداء,04,OUM EL BOUAGHI,أم البواقي,35.89445,6.2960367
15186,AIN ZITOUN,1,04023,,,AIN ZITOUN,عين الزيتون,04,OUM EL BOUAGHI,أم البواقي,35.8765083,7.117175
15185,BIR AMAR,1,04025,,,AIN DISS,عين الديس,04,OUM EL BOUAGHI,أم البواقي,35.87645,7.1174367
10615,HARMELIA,1,04032,,,EL HARMILIA,الحرملية,04,OUM EL BOUAGHI,أم البواقي,35.9250595,6.6235358
15191,HENCHIR LAATACHE,1,04039,,,OULED ZOUAI,أولاد زاوي,04,OUM EL BOUAGHI,أم البواقي,35.87643,7.1171817
15187,EL DJAZIA,1,04040,,,EL DJAZIA,الجازية,04,OUM EL BOUAGHI,أم البواقي,35.876445,7.1181367
15190,OULED GACEM,1,04041,,,OULED GACEM,أولاد قاسم,04,OUM EL BOUAGHI,أم البواقي,36.0336979,6.6668319
15189,BOUGHERARA FEDJOUDJ,1,04042,,,EL FEDJOUDJ BOUGHRARA SAOUDI,الفجوج بوغرارة سعودي,04,OUM EL BOUAGHI,أم البواقي,35.8762633,7.1174183
15193,RAHIA,1,04045,,,RAHIA,الراحية,04,OUM EL BOUAGHI,أم البواقي,35.8764783,7.1173633
15188,HENCHIR DOUAMES,1,04047,,,OUED NINI,وادي نيني,04,OUM EL BOUAGHI,أم البواقي,35.8764317,7.1172683
1624,AIN BEIDA 1ER NOV INDOOR,1,04048,,,AIN BEIDA,عين البيضاء,04,OUM EL BOUAGHI,أم البواقي,35.87651,7.1172617
1682,O-E-B 18 FEVRIER,1,04050,,,OUM EL BOUAGHI,أم البواقي,04,OUM EL BOUAGHI,أم البواقي,35.87655,7.1173383
13194,OEM 18 FEV LS1,1,04050,,,OUM EL BOUAGHI,أم البواقي,04,OUM EL BOUAGHI,أم البواقي,35.874895,7.0944932
