id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,category,address,hours,code_ouverture
09-003,Larbâa - Blida,09,0917,Larbaa,36.56654,3.15288,exact,operator_point,djezzy,"{""djezzy"":""ZF7""}",boutique,,"73 Avenue Mohamed Kébir, Larbâa - Blida",08H30-17H00,
10-001,Bouira - Zighout youcef,10,1001,Bouira,36.37334,3.89606,exact,operator_point,djezzy,"{""djezzy"":""Z42""}",boutique,,"Division Lakhdar Chaouche, Classe 63   72 (Rue Zighout youcef) Bouira",08H00-18H00,
10-002,LAKHDARIA,10,1013,Lakhdaria,36.56336,3.59823,exact,operator_point,djezzy,"{""djezzy"":""Z90""}",boutique,,86 Rue Si LAKHDAR Commune LAKHDARIA -Wilaya Bouira,08H00-18H00,
11-001,TAMANRASSET,11,1101,Tamanrasset,22.79821,5.52697,exact,operator_point,djezzy,"{""djezzy"":""Z65""}",boutique,C,"Quartier Sersouf, Tamanrasset.",08H00 -18H30,
12-001,TÉBÉSSA - Djebel El Djorf,12,1201,Tebessa,35.40069,8.11718,exact,operator_point,djezzy,"{""djezzy"":""Z32""}",boutique,B,"Rond point de Tébéssa, Rue Djebel El Djorf, Tébéssa.",08H00 - 20H00,C12B001
13-001,TLEMCEN - El Qods,13,1301,Tlemcen,34.88953,-1.33226,exact,operator_point,djezzy,"{""djezzy"":""Z20""}",boutique,,"06, Avenue El Qods, N°18, Kifan, Tlemcen",08H00 - 19H00,
13-002,TLEMCEN - Maghnia,13,1327,Maghnia,34.851532,-1.729797,exact,operator_point,djezzy,"{""djezzy"":""Z74""}",boutique,,"Local N° 01/Maison N°06 Rue MOHAMED KHEMISTI-Cité DARI OUASSINI/Lot 157 propriété  N° 35 <br>
Maghnia-Wilaya Tlemcen,",08H00 - 18H00,
13-003,TLEMCEN - LIBERTÉ,13,1301,Tlemcen,34.8829,-1.31037,exact,operator_point,djezzy,"{""djezzy"":""ZA7""}",boutique,,"18, BOULEVARD DE L’INDEPENDANCE",08H00 - 18H00,
13-004,Tlemcen - Ghazaouet,13,1307,Ghazaouet,35.09854,-1.85979,exact,operator_point,djezzy,"{""djezzy"":""ZH3""}",boutique,,"Rue Sayeh MISSOUM, lot N° 02, local N°1, Daira Ghazaouet, Wilaya Telemcen",09H00 - 17H00,
14-001,TIARET - Ben Badis,14,1401,Tiaret,35.37543,1.31519,exact,operator_point,djezzy,"{""djezzy"":""Z27""}",boutique,B,"06, Avenue Ben Badis, Tiaret.",08H00 -19H00,O14B001
15-001,Tizi Ouzou - Azazga,15,1518,Azazga,36.74474,4.36579,exact,operator_point,djezzy,"{""djezzy"":""Z91""}",boutique,C,"Lotissement A, Boulevard Ahmed ZAIDAT n°3, Azazga, Tizi Ouzou",08H00-18H00,A15B002R
15-002,TIZI OUZOU - Nouvelle Ville,15,1501,Tizi-Ouzou,36.7025,4.05296,exact,operator_point,djezzy,"{""djezzy"":""Z96""}",boutique,B+,"Tour Ali OUARAB, Boulevard Krim Belkacem, Nouvelle Ville, Tizi Ouzou.",08H00-19H30,A15B001R
16-001,Alger - El Biar,16,1610,El Biar,36.76904,3.02544,exact,operator_point,djezzy,"{""djezzy"":""Z04""}",boutique,,"130 Boulevard Ali KHODJA , El Biar",08H00 -20H00,
16-002,Alger - Bir Mourad Rais,16,1609,Bir Mourad Rais,36.739521,3.04958,exact,operator_point,djezzy,"{""djezzy"":""Z05""}",boutique,B,Rue Saada Larbi (Ex Gambita) Groupe 37 N° 10.,08H00 -20H00,A16B002
16-003,ALGER AÉROPORT National,16,1620,Dar El Beida,36.69849,3.20585,exact,operator_point,djezzy,"{""djezzy"":""Z08""}",boutique,C-,"Aéroport Houari Boumediene, Terminal International, Hall Central, Alger.",08H00 -22H00,A16M708
16-004,Alger - Kouba (Ex Lavigerie),16,1603,El Madania,36.72947,3.07893,exact,operator_point,djezzy,"{""djezzy"":""Z09""}",boutique,A,"86, Avenue des frères Abdeslami (Ex Lavigerie), Vieux Kouba, Alger.",08H00 -20H00,A16B003
16-005,Alger - Audin,16,1602,Sidi M'hamed,36.76921,3.05506,exact,operator_point,djezzy,"{""djezzy"":""Z11""}",boutique,A,"23, Rue Didouche Mourad, Place Audin, Alger.",08H00 -20H00,A16B004
16-006,Alger - Dar El Beida,16,1620,Dar El Beida,36.71529,3.20854,exact,operator_point,djezzy,"{""djezzy"":""Z48""}",boutique,B,"Rue Mohamed KHEMISTI N°14 & N°16 Lot N°18 propriété N°13 – Commune Dar El Beida, Alger.",08H00 -20H00,A16T033
16-007,Alger - Rouiba,16,1638,Rouiba,36.73778,3.28249,exact,operator_point,djezzy,"{""djezzy"":""Z50""}",boutique,A,"5, Boulevard Colonel Amirouche, Rouiba, Alger.",08H00 -20H00,A16B006
16-008,Alger - Bab El Oued,16,1605,Bab El Oued,36.79212,3.05714,exact,operator_point,djezzy,"{""djezzy"":""Z52""}",boutique,B,"06, Boulevard Abderrahmane Mira, BEO, Alger.",08H00 -20H00,A16B007
16-009,Alger - El Harrach,16,1629,Mohammadia,36.72321,3.14839,exact,operator_point,djezzy,"{""djezzy"":""Z68""}",boutique,B+,"03, Rue Ouled Sidi Cheikh, Belfort, El Harrach, Alger.",08H00 -18H00,A16B012
16-010,Alger - Staouéli,16,1645,Staoueli,36.75085,2.88701,exact,operator_point,djezzy,"{""djezzy"":""Z71""}",boutique,B,"C.E.M Lychly, Staouéli, Alger.",08H00 -20H00,A16B009
16-011,Alger - Bab Ezzouar / Centre commercial,16,1621,Bab Ezzouar,36.71258,3.1966,exact,operator_point,djezzy,"{""djezzy"":""Z79""}",boutique,B,"Centre commercial et des loisirs -Quartier des affaires- Bab Ezzouar, Alger.",09H00 -22H00,A16X955
16-012,Alger - Zéralda,16,1646,Zeralda,36.71211,2.84071,exact,operator_point,djezzy,"{""djezzy"":""ZE2""}",boutique,,Local N° 02 118 rue 01 Novembre Zéralda,08H00-18H00,
16-013,Alger - Birkhadem,16,1612,Birkhadem,36.71569,3.0493,exact,operator_point,djezzy,"{""djezzy"":""ZE9""}",boutique,,"Place Taleb Mohamed Ameziane, Bir khadem, Alger",08H00-18H00,Ouvert
16-014,Alger - Draria,16,1649,Draria,36.71011,2.99773,exact,operator_point,djezzy,"{""djezzy"":""ZF2""}",boutique,,"573 Lot Guéssas, Route de Baba Hassen, Draria - Alger",08H00-18H00,
16-015,Baraki,16,1614,Baraki,36.67147,3.09011,exact,operator_point,djezzy,"{""djezzy"":""ZH22""}",boutique,,658 Rue MOHAMED LARBI  - BARAKI  /Wilaya Alger,08H00-18H00,
16-016,Sidi Abdellah,16,1646,Zeralda,36.690639,2.853361,exact,operator_point,djezzy,"{""djezzy"":""ZH24""}",boutique,,"Rue Mohamed khider Bt:07-9 Sidi Abdellah,wilaya Alger",08H00 -20H00,
16-017,Nouvel Aéroport International d’ALGER,16,1620,Dar El Beida,36.699681,3.201221,exact,operator_point,djezzy,"{""djezzy"":""ZH7""}",boutique,,"Aéroport Houari Boumediene, Terminal 04, Hall Central, Alger.",24h / 24h,
17-001,Djelfa - Sidi Naîl,17,1701,Djelfa,34.66928,3.25062,exact,operator_point,djezzy,"{""djezzy"":""Z37""}",boutique,B,"84, Rue Sidi Naîl, Djelfa.",08H00-18H30,A17B001
17-002,Djelfa - Hassi Bahbah,17,1704,Hassi Bahbah,35.07252,3.02782,exact,operator_point,djezzy,"{""djezzy"":""ZE6""}",boutique,,"Cité Colonel Si El Houasse Bloc 43 N°07,  Hassi Bahbah - Djelfa",08H00 - 18H00,
18-001,JIJEL - 1er Novembre,18,1801,Jijel,36.81987,5.76989,exact,operator_point,djezzy,"{""djezzy"":""Z35""}",boutique,B,"01, Boulevard du 1er Novembre 1954, Jijel.",08H00 - 20H00,C18B001
