id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,type_label_fr,type_label_ar,address,operator_wilaya
06-014,ESO000415,06,0612,Smaoun,36.6078,4.82128,exact,operator_api,ooredoo,"{""ooredoo"":""1467375""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,SAMAOUN CENTRE,Bejaia
06-015,ESO000099,06,0639,Sidi-Aich,36.6103,4.69083,exact,operator_api,ooredoo,"{""ooredoo"":""1467427""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CITE TIMEZGHERLI,Bejaia
06-016,ESO000184,06,0601,Bejaia,36.75,5.06333,exact,operator_api,ooredoo,"{""ooredoo"":""1467430""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,14 RTE. DES AURES,Bejaia
06-017,ESO000249,06,0601,Bejaia,36.7497,5.05556,exact,operator_api,ooredoo,"{""ooredoo"":""1467432""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,58 LOT ZERARA,Bejaia
06-018,ESO000277,06,0639,Sidi-Aich,36.6122,4.68889,exact,operator_api,ooredoo,"{""ooredoo"":""1467435""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,AV. 1ER NOVEMBRE,Bejaia
06-019,ESO000305,06,0611,Tichy,36.6683,5.15806,exact,operator_api,ooredoo,"{""ooredoo"":""1467437""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,TICHY CTRE.,Bejaia
06-020,ESO000426,06,0601,Bejaia,36.7408,5.045,exact,operator_api,ooredoo,"{""ooredoo"":""1467438""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. 200 LOGTS IHADDADEN LOCAL N°B 286 BAT B 6,Bejaia
06-021,ESO000496,06,0601,Bejaia,36.7494,5.05879,exact,operator_api,ooredoo,"{""ooredoo"":""1467441""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. SEGHIR 96 LOGT BAT D5 N°03,Bejaia
06-022,ESO000781,06,0639,Sidi-Aich,36.6136,4.68891,exact,operator_api,ooredoo,"{""ooredoo"":""1467443""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. DES DOCKS copropriete N°2 LOT 12,Bejaia
06-023,ESO000612,06,0601,Bejaia,36.7472,5.04806,exact,operator_api,ooredoo,"{""ooredoo"":""1467444""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. HASSIBA NEBOUALI RTE. DE L'UNIVERSITE,Bejaia
06-024,ESO000820,06,0601,Bejaia,36.7478,5.04591,exact,operator_api,ooredoo,"{""ooredoo"":""1467451""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,COMMUNE DE SEDRAIA,Bejaia
06-025,EO AKBOU,06,0625,Akbou,36.4559,4.53574,exact,operator_api,ooredoo,"{""ooredoo"":""1467524""}",EO,Espace Ooredoo,فضاء أوريدو,R Aissat Idir Ghendouza - AKBOU,Bejaia
06-026,CSO SEDDOUK,06,0626,Seddouk,36.5451,4.68683,exact,operator_api,ooredoo,"{""ooredoo"":""1467608""}",CSO,City Shop Ooredoo,متجر أوريدو,Rue Principale à coté de l’APC seddouk,Bejaia
